text,tag,md
"Uruguay 1930 fue el primer Mundial. Se jugó en Montevideo y Uruguay venció 2–1 a Argentina en la final. Participaron 13 selecciones y el arbitraje usó principal y juez de línea.",Mundial,07-30
"Lucien Laurent (Francia) marcó el primer gol en la historia de los Mundiales el 13/07/1930 ante México (4–1), en el estadio Pocitos de Montevideo.",Mundial,07-13
"Brasil es la única selección presente en TODAS las Copas del Mundo desde 1930, adaptándose a cambios de formato y clasificatorios.",Mundial,
"Pelé es el único con 3 Copas del Mundo (1958, 1962, 1970). En 1970, Brasil venció 4–1 a Italia con fútbol ofensivo inolvidable.",Mundial,06-21
"Just Fontaine hizo 13 goles en un solo Mundial (1958), récord vigente. Francia fue 3.°, goleando 6–3 a Alemania en el partido por el bronce.",Mundial,
"Miroslav Klose (Alemania) es el máximo goleador mundialista: 16 tantos (2002–2014), superando a Ronaldo (15) en Brasil 2014.",Mundial,07-08
"Roger Milla (Camerún) es el goleador más veterano en Mundiales: 42 años y 39 días (vs Rusia, 1994). Popularizó el baile en el banderín.",Mundial,
"Oleg Salenko (Rusia) anotó 5 goles en un mismo partido de Mundial (6–1 a Camerún en 1994), una marca única.",Mundial,06-28
"El ‘Maracanazo’: Uruguay 2–1 Brasil el 16/07/1950. Aunque fue liguilla final, ese duelo decidió el título ante más de 170 mil espectadores.",Mundial,07-16
"Maradona dejó la ‘Mano de Dios’ y el ‘Gol del Siglo’ el 22/06/1986 vs Inglaterra (2–1). Uno polémico, el otro una obra maestra individual.",Mundial,06-22
"El balón Telstar (México 1970) popularizó el diseño blanco/negro de 32 paneles, pensado para lucir mejor en TV en blanco y negro.",Mundial,
"España 2010 fue campeona con el gol de Iniesta al 116’ (1–0 vs Países Bajos). Pico del ‘tiki-taka’ sustentado en Xavi, Busquets y Puyol.",Mundial,07-11
"Alemania 7–1 Brasil (08/07/2014) fue una semifinal histórica: 5–0 en 29’. Klose superó el récord mundialista de goles ese día.",Mundial,07-08
"Argentina 2022 ganó una final 3–3 (4–2 pen.) ante Francia: dobletes de Messi y Mbappé, y atajada clave de Dibu Martínez al 123’.",Mundial,12-18
"Marruecos fue la 1.ª selección africana en semifinales de un Mundial (2022), eliminando a España y Portugal con solidez defensiva.",Mundial,
"Corea del Sur alcanzó semifinales en 2002, la mejor actuación asiática hasta 2022. Venció a Italia y España en llaves polémicas.",Mundial,06-22
"Desde 1998 el Mundial tuvo 32 selecciones; en 2026 serán 48, con más plazas por confederación y fase de grupos ampliada.",Mundial,
"La primera tanda de penales en un Mundial fue en 1982 (semifinal Alemania–Francia). Tras el 3–3, los alemanes avanzaron.",Mundial,06-08
"Oliver Kahn (2002) es el único portero con Balón de Oro del Mundial. Alemania fue subcampeona ante Brasil (0–2), doblete de Ronaldo.",Mundial,06-30
"Ronaldo Nazário fue Bota de Oro en 2002 con 8 goles tras recuperarse de lesiones graves; Brasil venció 2–0 a Alemania en la final.",Mundial,06-30
"Zidane marcó dos de cabeza en la final 1998 (3–0 a Brasil). Francia ganó como anfitriona con Deschamps, Blanc y Thuram pilares defensivos.",Mundial,07-12
"Italia 2006 fue campeona en penales ante Francia. La final se recuerda por la expulsión de Zidane (cabezazo a Materazzi).",Mundial,07-09
"El ‘Milagro de Berna’ (1954): Alemania Federal remontó 3–2 a la poderosa Hungría de Puskás, que llevaba 31 partidos invicta.",Mundial,07-04
"Corea/Japón 2002, primer Mundial en Asia y con dos sedes. Sorpresas: Turquía 3.°, Corea 4.°, Francia eliminada en fase de grupos.",Mundial,06-30
"La UEFA Champions League nació en 1992–93; el campeón inaugural fue Olympique de Marsella (1–0 al Milan). Antes era la Copa de Europa.",Champions,05-26
"Real Madrid es el club con más Copas de Europa/Champions. Dominio de los 50s (5 seguidas) y eras doradas con Di Stéfano y luego Zidane/Ancelotti.",Champions,
"Cristiano Ronaldo es máximo goleador histórico de la Champions y tiene el récord de 17 goles en una temporada (2013–14).",Champions,
"Liverpool remontó un 0–3 al Milan en Estambul 2005: 3–3 y campeón por penales; Dudek héroe. Ícono de resiliencia ‘red’.",Champions,05-25
"Paolo Maldini marcó el gol más rápido en una final de Champions: 51 segundos (2005). Aun así, el Milan perdió esa final.",Champions,05-25
"El Ajax de Cruyff ganó 3 Copas de Europa seguidas (1971–73) con ‘fútbol total’: presión alta, rotación de posiciones y salida limpia.",Champions,
"El Bayern de Beckenbauer ganó 3 seguidas (1974–76), cimentando una cultura competitiva perdurable.",Champions,
"La volea de Zidane (Madrid 2–1 Leverkusen, Glasgow 2002) es una de las mejores ejecuciones técnicas en una final europea.",Champions,05-15
"En 2014 (‘La Décima’), Ramos empató al 93’ y el Madrid venció 4–1 al Atlético en la prórroga: final dramática en Lisboa.",Champions,05-24
"Barcelona logró el triplete en 2009 y 2015 con Messi-Xavi-Iniesta: posesión, presión tras pérdida y laterales profundos.",Champions,
"Inter 2010 (Mourinho) ganó con bloque compacto, transiciones rápidas y oficio táctico: 2–0 al Bayern en la final.",Champions,05-22
"Manchester City 2023 cerró el triplete (Premier, FA Cup, Champions) combinando posición, presión y control emocional.",Champions,06-10
"Chelsea 2012 fue campeón con Di Matteo, defensa férrea y héroes puntuales (Drogba, Čech) en Londres y Múnich.",Champions,05-19
